,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1857,15,México,69,Papalotla,8294,30357152,0.00027321403536141993
1858,20,Oaxaca,302,San Pedro Atoyac,8272,7615962,0.0010861398730718456
1859,20,Oaxaca,269,San Miguel el Grande,8263,7615962,0.0010849581444865402
1860,31,Yucatán,20,Chicxulub Pueblo,8251,3916927,0.0021064982829651917
1861,20,Oaxaca,497,Santiago Yaitepec,8246,7615962,0.0010827259904920743
1862,7,Chiapas,90,Tapalapa,8245,9645256,0.0008548243820589107
1863,21,Puebla,123,San Felipe Tepatlán,8242,11567088,0.0007125388861915808
1864,31,Yucatán,8,Calotmul,8239,3916927,0.002103434656811322
1865,20,Oaxaca,532,Santo Tomás Ocotepec,8152,7615962,0.0010703834919344399
1866,20,Oaxaca,87,San Agustín Yatareni,8150,7615962,0.0010701208855821496
1867,8,Chihuahua,39,López,8145,6847912,0.0011894136490071718
1868,15,México,116,Zacazonapan,8106,30357152,0.00026702109605011696
1869,20,Oaxaca,116,San Bartolomé Ayautla,8104,7615962,0.0010640809394794775
1870,21,Puebla,159,Teopantlán,8075,11567088,0.0006981013717540663
1871,30,Veracruz de Ignacio de la Llave,17,Apazapan,8060,15332413,0.0005256837263645324
1872,24,San Luis Potosí,9,Cerro de San Pedro,8052,5184349,0.0015531361796823479
1873,20,Oaxaca,366,Santa Catarina Loxicha,8034,7615962,0.001054889717149324
1874,8,Chihuahua,16,La Cruz,8022,6847912,0.0011714519695930673
1875,20,Oaxaca,424,Santa María Ozolotepec,8020,7615962,0.0010530514726832933
1876,20,Oaxaca,339,San Pedro y San Pablo Teposcolula,8007,7615962,0.0010513445313934076
1877,31,Yucatán,70,Sucilá,8005,3916927,0.0020436939468108546
1878,20,Oaxaca,95,San Andrés Paxtlán,7980,7615962,0.0010477993456374914
1879,20,Oaxaca,133,San Esteban Atatlahuca,7978,7615962,0.0010475367392852014
1880,20,Oaxaca,345,San Sebastián Ixcapa,7944,7615962,0.0010430724312962697
1881,30,Veracruz de Ignacio de la Llave,179,Tlacotepec de Mejía,7930,15332413,0.0005172049565844594
1882,20,Oaxaca,534,San Vicente Coatlán,7928,7615962,0.0010409715804779488
1883,20,Oaxaca,82,San Agustín Chayuco,7904,7615962,0.0010378203042504675
1884,20,Oaxaca,305,San Pedro Comitancillo,7891,7615962,0.001036113362960582
1885,8,Chihuahua,24,Santa Isabel,7891,6847912,0.0011523220508674761
1886,20,Oaxaca,200,San Juan Juquila Mixes,7864,7615962,0.0010325681772046656
1887,20,Oaxaca,306,San Pedro el Alto,7836,7615962,0.0010288916882726044
1888,20,Oaxaca,453,Santiago Astata,7830,7615962,0.001028103869215734
1889,21,Puebla,200,Xochiapulco,7826,11567088,0.0006765747783711855
1890,20,Oaxaca,84,San Agustín Etla,7791,7615962,0.001022983045346077
1891,30,Veracruz de Ignacio de la Llave,64,Chumatlán,7778,15332413,0.0005072913180723739
1892,20,Oaxaca,63,Nazareno Etla,7764,7615962,0.0010194378595901608
1893,20,Oaxaca,20,Constancia del Rosario,7740,7615962,0.0010162865833626795
1894,20,Oaxaca,24,Cuyamecalco Villa de Zaragoza,7739,7615962,0.0010161552801865345
1895,20,Oaxaca,170,San José Lachiguiri,7698,7615962,0.0010107718499645876
1896,14,Jalisco,31,Chimaltitán,7684,14729215,0.0005216842852792902
1897,31,Yucatán,66,Santa Elena,7674,3916927,0.0019591889253999374
1898,20,Oaxaca,352,San Simón Zahuatlán,7666,7615962,0.0010065701483279459
1899,31,Yucatán,39,Ixil,7642,3916927,0.0019510192556562837
1900,19,Nuevo León,8,Bustamante,7637,9320338,0.0008193908847511753
1901,14,Jalisco,75,San Marcos,7633,14729215,0.0005182217789610648
1902,7,Chiapas,63,Osumacinta,7597,9645256,0.0007876410952700478
1903,21,Puebla,29,Caxhuacan,7582,11567088,0.0006554804458996076
1904,31,Yucatán,99,Uayma,7566,3916927,0.0019316162900151063
1905,20,Oaxaca,50,Magdalena Peñasco,7556,7615962,0.0009921267989519906
1906,21,Puebla,127,San Jerónimo Xayacatlán,7554,11567088,0.0006530597847963117
1907,20,Oaxaca,174,Ánimas Trujano,7518,7615962,0.0009871372782584787
1908,14,Jalisco,57,La Manzanilla de la Paz,7516,14729215,0.0005102783821133713
1909,21,Puebla,18,Atexcal,7471,11567088,0.0006458842536686848
1910,31,Yucatán,12,Cenotillo,7468,3916927,0.001906596676425167
