,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
1890,14,Jalisco,57,La Manzanilla de la Paz,7254,13532532,0.0005360415922164455
1891,19,Nuevo León,2,Agualeguas,7252,8412172,0.0008620841323738982
1892,31,Yucatán,66,Santa Elena,7242,3643791,0.0019874905009645174
1893,31,Yucatán,39,Ixil,7220,3643791,0.00198145283305217
1894,21,Puebla,81,Ixcamilpa de Guerrero,7212,10774602,0.0006693518702593377
1895,20,Oaxaca,244,San Martín Toxpalan,7190,7026438,0.0010232780820096897
1896,19,Nuevo León,30,Iturbide,7165,8412172,0.0008517419757941231
1897,20,Oaxaca,393,Santa Lucía Ocotlán,7160,7026438,0.0010190084933504003
1898,14,Jalisco,75,San Marcos,7156,13532532,0.000528799784105443
1899,20,Oaxaca,200,San Juan Juquila Mixes,7125,7026438,0.0010140273065812294
1900,31,Yucatán,12,Cenotillo,7122,3643791,0.001954557766897168
1901,20,Oaxaca,170,San José Lachiguiri,7082,7026438,0.0010079075628362478
1902,30,Veracruz de Ignacio de la Llave,17,Apazapan,7081,14264380,0.0004964113406961957
1903,20,Oaxaca,71,Pluma Hidalgo,7064,7026438,0.0010053458096406743
1904,30,Veracruz de Ignacio de la Llave,179,Tlacotepec de Mejía,7058,14264380,0.0004947989327261332
1905,31,Yucatán,74,Tahmek,7019,3643791,0.0019262905034893604
1906,8,Chihuahua,16,La Cruz,6954,6519870,0.0010665856834568787
1907,14,Jalisco,31,Chimaltitán,6951,13532532,0.0005136511038732442
1908,20,Oaxaca,50,Magdalena Peñasco,6935,7026438,0.0009869865784057298
1909,20,Oaxaca,302,San Pedro Atoyac,6928,7026438,0.0009859903410518957
1910,20,Oaxaca,46,Magdalena Jaltepec,6928,7026438,0.0009859903410518957
1911,31,Yucatán,97,Tunkás,6900,3643791,0.0018936322088725726
1912,7,Chiapas,63,Osumacinta,6895,8641538,0.0007978903755326887
1913,31,Yucatán,30,Dzitás,6893,3643791,0.001891711132718644
1914,21,Puebla,101,Nauzontla,6886,10774602,0.0006390955322526067
1915,20,Oaxaca,284,San Miguel Tilquiápam,6884,7026438,0.000979728277684938
1916,5,Coahuila de Zaragoza,26,Progreso,6871,5001962,0.00137366097543324
1917,31,Yucatán,82,Telchac Pueblo,6828,3643791,0.001873872568432163
1918,26,Sonora,14,Baviácora,6824,4811876,0.0014181579076435055
1919,21,Puebla,7,Ahuatlán,6814,10774602,0.0006324131508523471
1920,28,Tamaulipas,26,Miquihuana,6806,6069690,0.001121309325517448
1921,20,Oaxaca,235,San Luis Amatlán,6801,7026438,0.000967915749060904
1922,20,Oaxaca,534,San Vicente Coatlán,6778,7026438,0.0009646423977554487
1923,19,Nuevo León,8,Bustamante,6752,8412172,0.0008026464508809378
1924,30,Veracruz de Ignacio de la Llave,64,Chumatlán,6745,14264380,0.0004728561633944132
1925,20,Oaxaca,17,La Compañía,6734,7026438,0.000958380334388491
1926,20,Oaxaca,345,San Sebastián Ixcapa,6728,7026438,0.0009575264166566331
1927,20,Oaxaca,203,San Juan Lachigalla,6726,7026438,0.0009572417774126805
1928,21,Puebla,139,San Pablo Anicano,6713,10774602,0.0006230392547214273
1929,20,Oaxaca,492,Santiago Tilantongo,6705,7026438,0.000954253065351178
1930,21,Puebla,130,San Juan Atenco,6641,10774602,0.0006163568733211676
1931,31,Yucatán,61,Río Lagartos,6621,3643791,0.001817063602165986
1932,14,Jalisco,62,Mixtlán,6621,13532532,0.0004892654234994604
1933,20,Oaxaca,286,San Miguel Tlacotepec,6620,7026438,0.0009421558974831914
1934,14,Jalisco,76,San Martín de Bolaños,6616,13532532,0.000488895943493797
1935,20,Oaxaca,249,San Mateo Yoloxochitlán,6588,7026438,0.0009376016695799494
